part,strategy,n_latent_feats,holdout_gen,auc,acc
standalone,physics_only,25,Pika,0.6302709606125678,0.5914326853851691
standalone,physics_only,25,SEINE,0.886291313000991,0.8104493580599144
standalone,physics_only,25,SVD,0.8545521103376228,0.7748327328872877
standalone,physics_only,25,VCraft,0.8861407706804206,0.8007042253521127
standalone,physics_only,25,ZS,0.6511657569016174,0.6119307248236049
standalone,csv_only,16,DC,0.9805215885432184,0.9298382889932185
standalone,csv_only,16,Latte,0.9211258543281191,0.8446524064171123
standalone,csv_only,16,OSora,0.9562190363933738,0.8835951134380454
standalone,csv_only,16,Pika,0.9142589543160522,0.8329733621310296
standalone,csv_only,16,SEINE,0.875930312005877,0.8373751783166904
standalone,csv_only,16,SVD,0.8950514257470169,0.8057128152341739
standalone,csv_only,16,VCraft,0.9492413459631024,0.8742957746478873
standalone,csv_only,16,ZS,0.9127901020415299,0.8232841565105837
standalone,physics+csv,41,DC,0.9926141986873618,0.9608763693270735
standalone,physics+csv,41,Latte,0.932541965741085,0.8606951871657754
standalone,physics+csv,41,OSora,0.9696687164399124,0.9078534031413612
standalone,physics+csv,41,Pika,0.945436244150144,0.8776097912167027
standalone,physics+csv,41,SEINE,0.9279567501897636,0.864657631954351
standalone,physics+csv,41,SVD,0.9555208146535501,0.8847143592382913
standalone,physics+csv,41,VCraft,0.9827316008728427,0.9320422535211268
standalone,physics+csv,41,ZS,0.9387689103514901,0.8588838999358563
standalone,latent+physics,84,DC,0.9825338942210227,0.9337506520605112
standalone,latent+physics,84,Latte,0.681959449798393,0.6366310160427807
standalone,latent+physics,84,OSora,0.8403978326617508,0.7670157068062827
standalone,latent+physics,84,Pika,0.7413292033829518,0.677825773938085
standalone,latent+physics,84,SEINE,0.9814868610360987,0.9276034236804565
standalone,latent+physics,84,SVD,0.9367149027785983,0.8623262995367987
standalone,latent+physics,84,VCraft,0.9567944108311843,0.8897887323943662
standalone,latent+physics,84,ZS,0.8175694440730044,0.7437459910198846
standalone,latent+csv,75,DC,0.9991001088740368,0.9880020865936359
standalone,latent+csv,75,Latte,0.9547825216620436,0.8903743315508021
standalone,latent+csv,75,OSora,0.9830152073073045,0.9347294938917976
standalone,latent+csv,75,Pika,0.9205578024600365,0.8480921526277898
standalone,latent+csv,75,SEINE,0.9756902331293587,0.9119115549215406
standalone,latent+csv,75,SVD,0.9882709723252691,0.949305198147195
standalone,latent+csv,75,VCraft,0.9945252678040072,0.9654929577464789
standalone,latent+csv,75,ZS,0.9874740843479131,0.9435535599743425
standalone,all_combined,100,DC,0.9990892241915335,0.99113197704747
standalone,all_combined,100,Latte,0.9509794389316252,0.8847593582887701
standalone,all_combined,100,OSora,0.9861537664964106,0.9418848167539267
standalone,all_combined,100,Pika,0.9407242237035724,0.8768898488120951
standalone,all_combined,100,SEINE,0.9813154760572322,0.9229671897289586
standalone,all_combined,100,SVD,0.9903884485500162,0.9567678847143593
standalone,all_combined,100,VCraft,0.9971501190240031,0.9772887323943662
standalone,all_combined,100,ZS,0.9883957126182019,0.9518922386144965
